SKU,English Name,Italian Name,Category,Collection,Material,Origin,Shape,Primary Color,Price (€),Stock,Featured,Best Seller,SEO Title,SEO Description,Alt Text
SKU,English Name,Italian Name,Category,Collection,Material,Origin,Shape,Primary Color,Price (€),Stock,Featured,Best Seller,SEO Title,SEO Description,Alt Text
AK-011,Royal Nomad Corridor Runner,Runner Reale Nomade,Afghan Runner,Nomad Collection,Hand-Knotted Wool,Afghanistan,Runner,Crimson & Navy,849,1,No,No,Royal Nomad Corridor Runner | Afghan Tappeti,Elegant hand-knotted Afghan corridor runner with timeless tribal motifs.,Hand-knotted Afghan runner in crimson and navy
AK-012,Heritage Geometric Kilim,Kilim Geometrico Heritage,Afghan Kilim,Heritage Collection,Hand-Knotted Wool,Afghanistan,Rectangle,Rust & Ivory,999,1,Yes,No,Heritage Geometric Kilim,Premium Afghan kilim with bold geometric craftsmanship.,Afghan geometric wool kilim
AK-013,Artisan Tribal Carpet,Tappeto Tribale Artigianale,Afghan Kilim,Artisan Collection,Hand-Knotted Wool,Afghanistan,Rectangle,Burgundy,899,1,No,No,Artisan Tribal Carpet,Authentic Afghan tribal rug handcrafted using traditional weaving techniques.,Handmade Afghan tribal carpet
AK-014,Classic Afghan Heritage Rug,Tappeto Classico Heritage Afghano,Afghan Kilim,Heritage Collection,Hand-Knotted Wool,Afghanistan,Rectangle,Deep Red,849,1,No,No,Classic Afghan Heritage Rug,Traditional Afghan rug combining heritage craftsmanship with timeless elegance.,Classic Afghan heritage rug
AK-015,Nomadic Desert Kilim,Kilim del Deserto Nomade,Afghan Kilim,Nomad Collection,Hand-Knotted Wool,Afghanistan,Rectangle,Sand & Terracotta,949,1,Yes,No,Nomadic Desert Kilim,Beautiful hand-knotted Afghan kilim inspired by desert landscapes.,Nomadic Afghan kilim in sand and terracotta
AK-016,Heritage Mosaic Carpet,Tappeto Heritage a Mosaico,Afghan Kilim,Luxury Collection,Hand-Knotted Wool,Afghanistan,Rectangle,Blue & Gold,1199,1,Yes,Yes,Heritage Mosaic Carpet,Luxury Afghan handmade carpet featuring intricate mosaic patterns.,Luxury Afghan mosaic carpet
AK-017,Royal Tribal Heritage Rug,Tappeto Heritage Tribale Reale,Afghan Kilim,Heritage Collection,Hand-Knotted Wool,Afghanistan,Rectangle,Rust Red,999,1,No,Yes,Royal Tribal Heritage Rug,Elegant tribal Afghan rug with authentic artisan craftsmanship.,Royal Afghan tribal heritage rug
AK-018,Nomad Patchwork Heritage,Patchwork Heritage Nomade,Patchwork Kilim,Heritage Collection,Hand-Knotted Wool,Afghanistan,Rectangle,Multicolor,899,1,Yes,Yes,Nomad Patchwork Heritage,Colorful Afghan patchwork rug crafted from traditional handwoven designs.,Afghan patchwork heritage rug
AK-019,Tribal Heritage Weave,Tessitura Heritage Tribale,Afghan Kilim,Artisan Collection,Hand-Knotted Wool,Afghanistan,Rectangle,Brown & Rust,799,1,No,No,Tribal Heritage Weave,Authentic tribal Afghan rug with traditional woven patterns.,Handmade Afghan tribal weave rug
AK-020,Blue Nomad Horizon,Orizzonte Nomade Blu,Modern Afghan,Contemporary Collection,Hand-Knotted Wool,Afghanistan,Rectangle,Blue,949,1,Yes,No,Blue Nomad Horizon,Contemporary Afghan rug combining modern tones with traditional weaving.,Blue contemporary Afghan handmade rug
Description Template (EN),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Example for AK-011:,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Royal Nomad Corridor Runner is a hand-knotted Afghan runner crafted from premium wool using traditional weaving techniques preserved through generations. Its elegant tribal motifs and rich crimson and navy color palette create a sophisticated statement in hallways, entrances, and narrow living spaces. Designed as a unique handmade piece, it combines exceptional durability with authentic craftsmanship, making it both a functional floor covering and a timeless work of art.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Description Template (IT),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Il Royal Nomad Corridor Runner è un tappeto afghano annodato a mano in lana pregiata, realizzato secondo antiche tecniche di tessitura tramandate da generazioni. I suoi raffinati motivi tribali e la palette di rosso cremisi e blu navy donano carattere ed eleganza a corridoi, ingressi e ambienti raffinati. Ogni tappeto è un pezzo unico che unisce qualità artigianale, durata e bellezza senza tempo.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SKU,English Name,Italian Name,Category,Collection,Material,Origin,Shape,Primary Color,Price (€),Stock,Featured,Best Seller,SEO Title,SEO Description,Alt Text
AK-021,Royal Silk Road Mosaic,Mosaico Reale della Via della Seta,Afghan Kilim,Heritage Collection,Hand-Knotted Wool,Afghanistan,Rectangle,Ruby & Navy,"1,099",1,Yes,Yes,Royal Silk Road Mosaic | Afghan Handmade Rug,"Premium Afghan rug inspired by the historic Silk Road, hand-knotted in fine wool.",Royal Afghan Silk Road rug with ruby and navy geometric motifs
AK-022,Nomad Mosaic Heritage,Mosaico Heritage Nomade,Afghan Kilim,Heritage Collection,Hand-Knotted Wool,Afghanistan,Rectangle,Terracotta & Ivory,949,1,No,No,Nomad Mosaic Heritage,Authentic Afghan wool rug featuring timeless mosaic-inspired tribal patterns.,Afghan handmade mosaic heritage rug
AK-023,Turquoise Nomad Patchwork,Patchwork Nomade Turchese,Patchwork Kilim,Contemporary Collection,Hand-Knotted Wool,Afghanistan,Rectangle,Turquoise,999,1,Yes,No,Turquoise Nomad Patchwork,Contemporary Afghan patchwork rug with vibrant turquoise tones.,Turquoise Afghan patchwork rug
AK-024,Heritage Mosaic Runner,Runner Heritage a Mosaico,Afghan Runner,Artisan Collection,Hand-Knotted Wool,Afghanistan,Runner,Rust & Blue,749,1,No,No,Heritage Mosaic Runner,Elegant handmade Afghan runner with classic mosaic tribal artwork.,Afghan heritage runner with mosaic design
AK-025,Afghan Artisan Patchwork,Patchwork Artigianale Afghano,Patchwork Kilim,Artisan Collection,Hand-Knotted Wool,Afghanistan,Rectangle,Multicolor,899,1,Yes,No,Afghan Artisan Patchwork,Artisan-crafted Afghan patchwork rug made from traditional woven designs.,Handmade Afghan artisan patchwork rug
AK-026,Royal Balkh Stripe,Tappeto Reale Balkh a Righe,Afghan Kilim,Heritage Collection,Hand-Knotted Wool,Afghanistan,Rectangle,Burgundy & Gold,999,1,No,Yes,Royal Balkh Stripe,Hand-knotted Afghan rug inspired by the historic city of Balkh.,Afghan Balkh stripe rug in burgundy and gold
AK-027,Classic Nomad Stripe,Tappeto Nomade Classico a Righe,Afghan Kilim,Traditional Collection,Hand-Knotted Wool,Afghanistan,Rectangle,Brown & Beige,849,1,No,No,Classic Nomad Stripe,Traditional Afghan striped rug crafted from premium hand-spun wool.,Classic Afghan striped handmade rug
AK-028,Royal Tribal Symphony,Sinfonia Tribale Reale,Afghan Kilim,Luxury Collection,Hand-Knotted Wool,Afghanistan,Rectangle,Crimson,"1,199",1,Yes,Yes,Royal Tribal Symphony,Luxury Afghan tribal rug showcasing bold geometric artistry.,Luxury Afghan tribal rug in crimson tones
AK-029,Crimson Heritage Detail,Heritage Cremisi,Afghan Kilim,Heritage Collection,Hand-Knotted Wool,Afghanistan,Rectangle,Crimson & Navy,899,1,No,No,Crimson Heritage Rug,Traditional Afghan rug with rich crimson heritage patterns.,Handmade crimson Afghan heritage rug
AK-030,Afghan Mosaic Runner,Runner Mosaico Afghano,Afghan Runner,Heritage Collection,Hand-Knotted Wool,Afghanistan,Runner,Multicolor,799,1,No,No,Afghan Mosaic Runner,Authentic Afghan runner featuring colorful geometric mosaic craftsmanship.,Afghan mosaic runner with vibrant tribal patterns
,,,,,,,,,,,,,,,
Description Template (EN),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Example for AK-021,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Royal Silk Road Mosaic is a luxurious hand-knotted Afghan wool rug inspired by the ancient trade routes that connected cultures across Central Asia. Rich ruby and navy geometric motifs create a striking visual balance while preserving centuries-old weaving traditions. Carefully crafted by skilled Afghan artisans, this unique rug combines exceptional durability, premium wool, and timeless elegance, making it an outstanding centerpiece for living rooms, offices, and refined interiors.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Description Template (IT),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Il Royal Silk Road Mosaic è un pregiato tappeto afghano annodato a mano, ispirato alle antiche rotte commerciali della Via della Seta. I raffinati motivi geometrici nei toni rubino e blu navy valorizzano la tradizione artigianale afghana, offrendo un perfetto equilibrio tra eleganza classica e design senza tempo. Ogni tappeto è realizzato in lana di alta qualità ed è un autentico pezzo unico.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SKU,English Name,Italian Name,Category,Collection,Material,Origin,Shape,Primary Color,Price (€),Stock,Featured,Best Seller,SEO Title,SEO Description,Alt Text
PF-004,Isfahan Sky Bloom,Fioritura del Cielo di Isfahan,Persian Floral Rug,Royal Persian Collection,Hand-Knotted Wool & Silk,Iran,Rectangle,Sky Blue & Ivory,"1,499",1,Yes,Yes,Isfahan Sky Bloom | Persian Handmade Rug,Elegant Persian rug inspired by Isfahan floral artistry and handcrafted in fine wool and silk.,Persian floral rug with sky blue and ivory motifs
PF-005,Turquoise Garden Runner,Runner Giardino Turchese,Persian Runner,Royal Persian Collection,Hand-Knotted Wool,Iran,Runner,Turquoise & Cream,999,1,Yes,No,Turquoise Garden Runner,Hand-knotted Persian runner featuring graceful floral vines in turquoise tones.,Persian floral runner in turquoise and cream
PF-006,Ivory Palace Garden,Giardino del Palazzo d'Avorio,Persian Floral Rug,Luxury Persian Collection,Hand-Knotted Wool & Silk,Iran,Rectangle,"Ivory, Gold & Beige","1,699",1,Yes,Yes,Ivory Palace Garden | Luxury Persian Rug,Premium Persian rug with elegant ivory floral patterns and timeless palace-inspired design.,Luxury Persian rug with ivory floral design
PF-007,Persian Floral Detail,Dettaglio Floreale Persiano,Persian Floral Rug,Royal Persian Collection,Hand-Knotted Wool & Silk,Iran,Rectangle,Blue & Ivory,"1,299",1,No,No,Persian Floral Detail,Traditional Persian rug showcasing intricate floral craftsmanship.,Close-up of Persian floral handmade rug
PF-008,Emerald Persian Garden,Giardino Persiano Smeraldo,Persian Floral Rug,Royal Persian Collection,Hand-Knotted Wool & Silk,Iran,Rectangle,Emerald Green & Ivory,"1,599",1,Yes,Yes,Emerald Persian Garden,Elegant Persian rug featuring emerald floral motifs woven by master artisans.,Emerald green Persian floral rug
PF-009,Emerald Garden Detail,Dettaglio del Giardino Smeraldo,Persian Floral Rug,Royal Persian Collection,Hand-Knotted Wool & Silk,Iran,Rectangle,Emerald & Gold,"1,399",1,No,No,Emerald Garden Detail,Handcrafted Persian floral rug with refined emerald detailing.,Persian rug with emerald floral details
PF-010,Persian Sky Garden Runner,Runner Giardino del Cielo Persiano,Persian Runner,Luxury Persian Collection,Hand-Knotted Wool & Silk,Iran,Runner,Sky Blue,"1,299",1,Yes,No,Persian Sky Garden Runner,Premium Persian runner blending elegant floral artistry with timeless craftsmanship.,Sky blue Persian handmade runner
RK-003,Silk Road Corridor Runner,Runner Corridoio della Via della Seta,Afghan Runner,Nomad Collection,Hand-Knotted Wool,Afghanistan,Runner,Rust & Navy,749,1,No,Yes,Silk Road Corridor Runner,Authentic Afghan corridor runner inspired by Silk Road heritage.,Afghan corridor runner with tribal motifs
RK-004,Balkh Mosaic Runner,Runner Mosaico di Balkh,Afghan Runner,Heritage Collection,Hand-Knotted Wool,Afghanistan,Runner,Rust Red,699,1,No,No,Balkh Mosaic Runner,Handmade Afghan runner showcasing traditional Balkh geometric artistry.,Handmade Balkh runner in rust red
RK-005,Maimana Heritage Runner,Runner Heritage di Maimana,Maimana Rug,Heritage Collection,Hand-Knotted Wool,Afghanistan,Runner,Burgundy & Beige,799,1,Yes,No,Maimana Heritage Runner,Traditional Maimana runner woven by Afghan artisans using heritage techniques.,Maimana heritage handmade runner
RK-006,Sunset Tribal Runner,Runner Tribale al Tramonto,Afghan Runner,Nomad Collection,Hand-Knotted Wool,Afghanistan,Runner,"Orange, Rust & Brown",699,1,No,No,Sunset Tribal Runner,Warm-toned Afghan runner inspired by tribal weaving traditions.,Afghan tribal runner in sunset colors
RK-007,Autumn Heritage Runner,Runner Heritage d'Autunno,Afghan Runner,Heritage Collection,Hand-Knotted Wool,Afghanistan,Runner,Brown & Gold,749,1,No,No,Autumn Heritage Runner,Elegant Afghan handmade runner featuring warm autumn-inspired colors.,Handmade Afghan runner in brown and gold
,,,,,,,,,,,,,,,
Standard Description (EN) – Persian Collection,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Crafted using centuries-old Persian weaving traditions, this hand-knotted rug combines exceptional artistry with premium wool and silk materials. Every floral motif is carefully woven by skilled artisans, creating a luxurious centerpiece that adds warmth, elegance, and timeless beauty to any interior. Each rug is a unique work of art, preserving authentic craftsmanship while complementing both classic and contemporary living spaces.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Standard Description (IT) – Persian Collection,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Realizzato secondo le antiche tradizioni della tessitura persiana, questo tappeto annodato a mano unisce l'eccellenza artigianale a pregiati materiali in lana e seta. Ogni motivo floreale è intrecciato con estrema precisione da maestri tessitori, creando un'opera d'arte unica che dona eleganza, calore e raffinatezza a qualsiasi ambiente.",,,,,,,,,,,,,,,
